action,gtt_id,tradingsymbol,exchange,transaction_type,quantity,trigger_price,order_price,product,order_type,validity,last_price,notes
create,,GOLDBEES,NSE,BUY,11,85.53,85.43,CNC,LIMIT,DAY,93.97,Created by Python Program
create,,GOLDBEES,NSE,BUY,14,82.68,82.58,CNC,LIMIT,DAY,90.84,Created by Python Program
create,,GOLDBEES,NSE,BUY,17,79.92,79.82,CNC,LIMIT,DAY,87.8,Created by Python Program
create,,GOLDBEES,NSE,BUY,21,77.25,77.15,CNC,LIMIT,DAY,84.87,Created by Python Program
create,,GOLDBEES,NSE,BUY,26,74.68,74.58,CNC,LIMIT,DAY,82.04,Created by Python Program
create,,GOLDBEES,NSE,BUY,32,72.19,72.09,CNC,LIMIT,DAY,79.3,Created by Python Program
create,,GOLDBEES,NSE,BUY,40,69.78,69.68,CNC,LIMIT,DAY,76.65,Created by Python Program
create,,GOLDBEES,NSE,BUY,49,67.45,67.35,CNC,LIMIT,DAY,74.09,Created by Python Program
create,,GOLDBEES,NSE,BUY,60,65.21,65.11,CNC,LIMIT,DAY,71.62,Created by Python Program
create,,GOLDBEES,NSE,BUY,74,63.03,62.93,CNC,LIMIT,DAY,69.22,Created by Python Program
create,,GOLDBEES,NSE,BUY,90,60.93,60.83,CNC,LIMIT,DAY,66.91,Created by Python Program
